Index,Season,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,day_of_week
333,2023/24,Everton,Liverpool,2,0,H,Wednesday
334,2023/24,Man United,Sheffield United,4,2,H,Wednesday
335,2023/24,Brighton,Man City,0,4,A,Thursday
336,2023/24,West Ham,Liverpool,2,2,D,Saturday
337,2023/24,Fulham,Crystal Palace,1,1,D,Saturday
338,2023/24,Man United,Burnley,1,1,D,Saturday
339,2023/24,Newcastle,Sheffield United,5,1,H,Saturday
340,2023/24,Wolves,Luton,2,1,H,Saturday
341,2023/24,Everton,Brentford,1,0,H,Saturday
342,2023/24,Aston Villa,Chelsea,2,2,D,Saturday
343,2023/24,Bournemouth,Brighton,3,0,H,Sunday
344,2023/24,Tottenham,Arsenal,2,3,A,Sunday
345,2023/24,Nott'm Forest,Man City,0,2,A,Sunday
346,2023/24,Chelsea,Tottenham,2,0,H,Thursday
347,2023/24,Luton,Everton,1,1,D,Friday
348,2023/24,Arsenal,Bournemouth,3,0,H,Saturday
349,2023/24,Brentford,Fulham,0,0,D,Saturday
350,2023/24,Burnley,Newcastle,1,4,A,Saturday
351,2023/24,Sheffield United,Nott'm Forest,1,3,A,Saturday
352,2023/24,Man City,Wolves,5,1,H,Saturday
353,2023/24,Brighton,Aston Villa,1,0,H,Sunday
354,2023/24,Chelsea,West Ham,5,0,H,Sunday
355,2023/24,Liverpool,Tottenham,4,2,H,Sunday
356,2023/24,Crystal Palace,Man United,4,0,H,Monday
357,2023/24,Fulham,Man City,0,4,A,Saturday
358,2023/24,Bournemouth,Brentford,1,2,A,Saturday
359,2023/24,Everton,Sheffield United,1,0,H,Saturday
360,2023/24,Newcastle,Brighton,1,1,D,Saturday
361,2023/24,Tottenham,Burnley,2,1,H,Saturday
362,2023/24,West Ham,Luton,3,1,H,Saturday
363,2023/24,Wolves,Crystal Palace,1,3,A,Saturday
364,2023/24,Nott'm Forest,Chelsea,2,3,A,Saturday
365,2023/24,Man United,Arsenal,0,1,A,Sunday
366,2023/24,Aston Villa,Liverpool,3,3,D,Monday
367,2023/24,Tottenham,Man City,0,2,A,Tuesday
368,2023/24,Brighton,Chelsea,1,2,A,Wednesday
369,2023/24,Man United,Newcastle,3,2,H,Wednesday
370,2023/24,Arsenal,Everton,2,1,H,Sunday
371,2023/24,Brentford,Newcastle,2,4,A,Sunday
372,2023/24,Brighton,Man United,0,2,A,Sunday
373,2023/24,Burnley,Nott'm Forest,1,2,A,Sunday
374,2023/24,Chelsea,Bournemouth,2,1,H,Sunday
375,2023/24,Crystal Palace,Aston Villa,5,0,H,Sunday
376,2023/24,Liverpool,Wolves,2,0,H,Sunday
377,2023/24,Luton,Fulham,2,4,A,Sunday
378,2023/24,Man City,West Ham,3,1,H,Sunday
379,2023/24,Sheffield United,Tottenham,0,3,A,Sunday
